id,className,country,season,name,cost,sellingPrice,margin,marginPercent,roi,status,lifecycle,ros,storeCount,region,suggested,lastYearSales,lastYearPlan,lastYearMarginPercent,lastYearMarginPlan,lastYearROI,lastYearROIPlan,sellThru,sellThruPlan,material,fit,color,imageUrl
2001,Shirts,USA,SS25,Classic White Oxford,15,45,30,66.67,3,Approved,New,2.5,140,North,1,11400,9348,54.00,4480,2.68,1.73,85,88,Cotton,Regular,White,https://picsum.photos/400/500?random=1
2002,Shirts,USA,SS25,Blue Chambray Shirt,18,55,37,67.27,3.05,Approved,Carryover,1.8,120,South,1,4590,4131,55.16,4080,1.47,1.64,87,88,Cotton,Slim,Blue,https://picsum.photos/400/500?random=2
2003,Shirts,USA,SS25,Striped Cotton Shirt,16.5,48,31.5,65.63,2.91,Under Review,New,2.2,135,North,1,6806.8,4764.76,62.35,5130,1.81,1.29,82,88,Cotton,Regular,Navy,https://picsum.photos/400/500?random=3
2004,Shirts,UK,SS25,Linen Beach Shirt,20,60,40,66.67,3,Approved,New,3.1,95,East,3,8928,7856.64,62.67,2375,1.36,1.68,90,88,Linen,Relaxed,Beige,https://picsum.photos/400/500?random=4
2005,Shirts,UK,SS25,Floral Print Resort,12,35,23,65.71,2.92,Under Review,New,3,80,East,3,8415,6479.55,63.08,3280,1.1,2.23,78,88,Cotton,Loose,Multi,https://picsum.photos/400/500?random=5
2006,Shirts,France,SS25,Slim Fit Dress Shirt,22,68,46,67.65,3.09,Approved,Carryover,1.5,110,South,2,5292,4498.2,57.50,2860,1.19,2.87,88,88,Cotton,Slim,White,https://picsum.photos/400/500?random=6
2007,Shirts,France,SS25,Casual Polo Shirt,14,42,28,66.67,3,Under Review,New,2.8,125,East,1,10206,8368.92,64.67,4375,2.51,2.44,84,88,Cotton,Regular,Green,https://picsum.photos/400/500?random=7
2008,Shirts,USA,FW24,Flannel Check Shirt,16,40,24,60,2.5,Approved,Carryover,2,150,East,2,6840,5472,57.60,5250,1.3,1.49,86,88,Flannel,Regular,Red,https://picsum.photos/400/500?random=8
2009,Shirts,USA,FW24,Denim Western Shirt,19,52,33,63.46,2.74,Under Review,New,1.7,105,North,3,5936.4,5105.304,60.29,4200,2.31,2.64,80,88,Denim,Regular,Blue,https://picsum.photos/400/500?random=9
2010,Shirts,UK,FW24,Corduroy Shirt,21,58,37,63.79,2.76,Approved,New,1.4,88,South,2,5488,4170.88,49.76,1936,1.31,2.06,83,88,Corduroy,Slim,Brown,https://picsum.photos/400/500?random=10
2011,Shirts,France,FW24,Merino Wool Polo,28,75,47,62.67,2.68,Under Review,Carryover,1.5,110,East,1,4794,3883.14,60.16,4620,1.42,2.4,89,88,Wool,Regular,Navy,https://picsum.photos/400/500?random=11
2012,Shirts,USA,FW24,Thermal Henley,13,38,25,65.79,2.92,Under Review,New,2.3,142,North,3,8500.8,7480.704,48.03,3692,2.15,1.34,85,88,Cotton,Slim,Gray,https://picsum.photos/400/500?random=12
2013,Shirts,UK,SS25,Short Sleeve Linen,17,49,32,65.31,2.88,Approved,New,2.9,118,East,1,9839.7,7281.378,60.74,2360,2.01,1.99,91,88,Linen,Relaxed,White,https://picsum.photos/400/500?random=13
2014,Shirts,France,FW24,Brushed Cotton Shirt,18.5,54,35.5,65.74,2.92,Under Review,Exit,0.8,45,South,3,2432,1702.4,47.99,1260,1.67,1.87,75,88,Cotton,Regular,Beige,https://picsum.photos/400/500?random=14
2015,Shirts,USA,SS25,Hawaiian Print Shirt,15.5,44,28.5,64.77,2.84,Under Review,New,3.2,130,South,1,11833.6,9466.88,61.53,2600,1.8,1.91,88,88,Cotton,Loose,Multi,https://picsum.photos/400/500?random=15
