id,className,country,season,category,businessLocation,name,cost,sellingPrice,margin,marginPercent,roi,plannedUnits,assortedUnits,status,lifecycle,ros,storeCount,imageUrl,region,material,fit,color,lastYearSales,lastYearPlan,lastYearMarginPercent,lastYearMarginPlan,lastYearROI,lastYearROIPlan,sellThru,sellThruPlan,suggested,budget
1001,Dress,USA,SS26,Apparel,NA,Floral Midi Dress,22,68,46,67.65,3.09,500,500,Approved,New,2.5,140,https://picsum.photos/400/500?random=1,North,Cotton,Regular,Floral,95000,80000,45,42,2.5,2.1,88,85,2,50000
1002,Dress,USA,SS26,Apparel,NA,Satin Wrap Dress,28,85,57,67.06,3.04,400,380,Approved,Carryover,2.1,120,https://picsum.photos/400/500?random=2,South,Silk,Slim,Black,72000,65000,48,44,2.3,2.0,90,85,1,42000
1003,Dress,USA,SS26,Apparel,NA,Pleated Maxi Dress,25,78,53,67.95,3.12,350,320,Under Review,New,1.9,115,https://picsum.photos/400/500?random=3,North,Polyester,Regular,Navy,68000,60000,42,40,2.1,1.9,82,85,3,38000
1004,Dress,USA,SS26,Apparel,NA,Cotton Sundress,18,52,34,65.38,2.89,600,600,Approved,New,3.0,160,https://picsum.photos/400/500?random=4,East,Cotton,Relaxed,Yellow,110000,95000,50,46,2.8,2.4,91,85,1,55000
1005,Dress,USA,SS26,Apparel,NA,Linen Shirt Dress,24,72,48,66.67,3.00,300,280,Under Review,New,2.2,100,https://picsum.photos/400/500?random=5,South,Linen,Regular,Beige,58000,50000,44,41,2.2,2.0,84,85,2,36000
1006,Pants,Canada,SS26,Apparel,NA,Slim Chino Beige,20,60,40,66.67,3.00,450,450,Approved,New,2.3,135,https://picsum.photos/400/500?random=6,North,Cotton,Slim,Beige,82000,75000,46,43,2.4,2.1,87,85,2,45000
1007,Pants,Canada,SS26,Apparel,NA,Wide Leg Trouser,23,68,45,66.18,2.96,380,360,Approved,Carryover,1.8,110,https://picsum.photos/400/500?random=7,East,Cotton,Wide,Navy,65000,58000,43,40,2.0,1.8,85,85,1,38000
1008,Pants,Canada,SS26,Apparel,NA,Linen Drawstring Pant,21,62,41,66.13,2.95,320,300,Under Review,New,2.0,105,https://picsum.photos/400/500?random=8,South,Linen,Relaxed,White,55000,48000,41,38,1.9,1.7,80,85,3,32000
1009,Pants,Canada,SS26,Apparel,NA,Cargo Jogger,19,56,37,66.07,2.95,500,480,Approved,New,2.6,145,https://picsum.photos/400/500?random=9,North,Cotton,Relaxed,Olive,98000,88000,48,44,2.6,2.3,89,85,2,52000
1010,Pants,Canada,SS26,Apparel,NA,Pleated Dress Pant,26,80,54,67.50,3.08,280,260,Under Review,Carryover,1.5,90,https://picsum.photos/400/500?random=10,East,Wool,Slim,Charcoal,48000,42000,40,37,1.8,1.6,78,85,1,28000
1011,Formal,USA,SS26,Shirts,NA,Classic White Oxford,22,65,43,66.15,2.95,400,400,Approved,Carryover,2.0,130,https://picsum.photos/400/500?random=11,North,Cotton,Regular,White,78000,70000,44,41,2.2,2.0,88,85,1,42000
1012,Formal,USA,SS26,Shirts,NA,Slim Fit Dress Shirt,25,75,50,66.67,3.00,350,340,Approved,New,1.8,125,https://picsum.photos/400/500?random=12,South,Cotton,Slim,Blue,70000,62000,46,43,2.3,2.1,86,85,2,40000
1013,Formal,USA,SS26,Shirts,NA,French Cuff Shirt,28,82,54,65.85,2.93,250,230,Under Review,New,1.5,95,https://picsum.photos/400/500?random=13,East,Cotton,Slim,White,52000,45000,42,39,2.0,1.8,82,85,3,30000
1014,Formal,USA,SS26,Shirts,NA,Poplin Dress Shirt,20,58,38,65.52,2.90,420,420,Approved,Carryover,2.2,140,https://picsum.photos/400/500?random=14,North,Cotton,Regular,Light Blue,85000,78000,47,44,2.5,2.2,90,85,1,48000
1015,Formal,USA,SS26,Shirts,NA,Twill Dress Shirt,24,70,46,65.71,2.92,300,280,Under Review,New,1.6,100,https://picsum.photos/400/500?random=15,South,Cotton,Slim,Pink,55000,48000,40,37,1.9,1.7,79,85,2,33000
1016,Polos,Canada,SS26,Shirts,NA,Classic Pique Polo,14,42,28,66.67,3.00,600,600,Approved,Carryover,3.0,180,https://picsum.photos/400/500?random=16,North,Cotton,Regular,Navy,120000,105000,50,47,2.9,2.5,92,85,1,60000
1017,Polos,Canada,SS26,Shirts,NA,Performance Polo,18,55,37,67.27,3.06,500,480,Approved,New,2.8,160,https://picsum.photos/400/500?random=17,East,Polyester,Regular,Black,105000,92000,48,45,2.7,2.3,90,85,2,55000
